"Posição";"Código IBGE";"Município";"Unidade federativa";"População"
"1º";"355030";"São Paulo";"São Paulo";11451999
"2º";"330455";"Rio de Janeiro";"Rio de Janeiro";6211223
"6º";"310620";"Belo Horizonte";"Minas Gerais";2315560
"8º";"410690";"Curitiba";"Paraná";1773718
"13º";"351880";"Guarulhos";"São Paulo";1291771
"14º";"350950";"Campinas";"São Paulo";1139047
"21º";"354870";"São Bernardo do Campo";"São Paulo";810729
"25º";"354780";"Santo André";"São Paulo";748919
"26º";"353440";"Osasco";"São Paulo";728615
"27º";"355220";"Sorocaba";"São Paulo";723682
"29º";"354340";"Ribeirão Preto";"São Paulo";698642
"30º";"354990";"São José dos Campos";"São Paulo";697054
"41º";"320500";"Serra";"Espírito Santo";520653
"45º";"354980";"São José do Rio Preto";"São Paulo";480393
"47º";"320520";"Vila Velha";"Espírito Santo";467722
"51º";"352590";"Jundiaí";"São Paulo";443221
"54º";"353870";"Piracicaba";"São Paulo";423323
"56º";"354850";"Santos";"São Paulo";418608
"57º";"352940";"Mauá";"São Paulo";418261
"60º";"310670";"Betim";"Minas Gerais";411846
"63º";"351380";"Diadema";"São Paulo";393237
"64º";"351060";"Carapicuíba";"São Paulo";386984
"66º";"350600";"Bauru";"São Paulo";379146
"72º";"411990";"Ponta Grossa";"Paraná";358371
"74º";"320130";"Cariacica";"Espírito Santo";353491
"79º";"430460";"Canoas";"Rio Grande do Sul";347657
"87º";"320530";"Vitória";"Espírito Santo";322869
"89º";"355410";"Taubaté";"São Paulo";310739
"92º";"290570";"Camaçari";"Bahia";300372
"94º";"352690";"Limeira";"São Paulo";291869
"101º";"355280";"Taboão da Serra";"São Paulo";273542
"107º";"430920";"Gravataí";"Rio Grande do Sul";265074
"121º";"350320";"Araraquara";"São Paulo";242228
"122º";"352440";"Jacareí";"São Paulo";240275
"124º";"352900";"Marília";"São Paulo";237627
"125º";"350160";"Americana";"São Paulo";237240
"133º";"313130";"Ipatinga";"Minas Gerais";227731
"138º";"354140";"Presidente Prudente";"São Paulo";225668
"151º";"354390";"Rio Claro";"São Paulo";201418
"152º";"350280";"Araçatuba";"São Paulo";200124
"158º";"431560";"Rio Grande";"Rio Grande do Sul";191900
"171º";"312980";"Ibirité";"Minas Gerais";170537
"178º";"354880";"São Caetano do Sul";"São Paulo";165655
"198º";"410180";"Araucária";"Paraná";151666
"223º";"352530";"Jaú";"São Paulo";133497
"225º";"500830";"Três Lagoas";"Mato Grosso do Sul";132152
"245º";"355400";"Tatuí";"São Paulo";123942
"259º";"351840";"Guaratinguetá";"São Paulo";118044
"267º";"351110";"Catanduva";"São Paulo";115791
"275º";"313170";"Itabira";"Minas Gerais";113343
"278º";"351350";"Cubatão";"São Paulo";112476
"285º";"353650";"Paulínia";"São Paulo";110537
"301º";"311940";"Coronel Fabriciano";"Minas Gerais";104736
"340º";"314700";"Paracatu";"Minas Gerais";94023
"346º";"430930";"Guaíba";"Rio Grande do Sul";92924
"395º";"316870";"Timóteo";"Minas Gerais";81579
"424º";"430770";"Esteio";"Rio Grande do Sul";76137
"434º";"314610";"Ouro Preto";"Minas Gerais";74821
"466º";"291005";"Dias d'Ávila";"Bahia";71485
"535º";"314000";"Mariana";"Minas Gerais";61387
"586º";"315120";"Pirapora";"Minas Gerais";55606
"612º";"311800";"Congonhas";"Minas Gerais";52890
"764º";"412560";"São Mateus do Sul";"Paraná";42366
"794º";"292950";"São Sebastião do Passé";"Bahia";40958
"841º";"310900";"Brumadinho";"Minas Gerais";38915
"1226º";"432200";"Triunfo";"Rio Grande do Sul";27498
"1292º";"316295";"São José da Lapa";"Minas Gerais";26090
"1513º";"311750";"Conceição do Mato Dentro";"Minas Gerais";23163
